City,State,Latitude,Longitude
Byrnihat,Assam,26.0543348,91.8696498
Guwahati,Assam,26.1805978,86.4309638
Nagaon,Assam,26.3313646,86.9746587
Nalbari,Assam,26.3533631,78.8216861
Silchar,Assam,24.830302,81.7804732
Sivasagar,Assam,26.9834936,81.7804732
Manguraha,Bihar,26.3583278,78.8216861
Patna,Bihar,25.6093239,78.4604956
Hajipur,Bihar,25.6905702,84.7514507
Gaya,Bihar,24.679389,76.770421
Muzaffarpur,Bihar,26.1482548,78.8216861
Bettiah,Bihar,26.8023,77.590082
Motihari,Bihar,26.6506888,78.8216861
Bihar Sharif,Bihar,25.193859,75.3390241
Sasaram,Bihar,24.9509656,72.8991697
Rajgir,Bihar,25.0299973,76.7674001
Munger,Bihar,25.2202864,76.6821985
Arrah,Bihar,25.560317,84.6632139
Araria,Bihar,26.2651013,87.3699437
Begusarai,Bihar,25.5125411,75.3390241
Bhagalpur,Bihar,25.2861354,86.7308825
Aurangabad,Bihar,19.877263,75.3390241
Chhapra,Bihar,25.7784105,84.7514507
Katihar,Bihar,25.5586421,76.7697439
Kishanganj,Bihar,26.2984144,78.1573628
Purnia,Bihar,25.7758723,85.050728
Saharsa,Bihar,25.8330757,73.8241077
Samastipur,Bihar,25.7747884,93.709712
Siwan,Bihar,26.131008,81.7804732
Chandigarh,Chandigarh,0,77.3592238
Bhilai,Chhattisgarh,21.2120677,81.3732849
Raipur,Chhattisgarh,21.2380912,78.8216861
Korba,Chhattisgarh,22.5198217,78.8216861
Chhal,Chhattisgarh,31.1164614,76.7674001
Tumidih,Chhattisgarh,0,78.4604956
Delhi,Delhi,0,72.9945103
Ahmedabad,Gujarat,23.0215374,72.5800568
Ankleshwar,Gujarat,21.6293206,74.639
Gandhinagar,Gujarat,23.2232877,74.6599008
Vapi,Gujarat,20.3735482,79.4231711
Sirsa,Haryana,29.6063041,74.8787496
Manesar,Haryana,28.3247096,78.8216861
Sonipat,Haryana,28.9953758,81.7804732
Dharuhera,Haryana,28.2055216,77.3592238
Bahadurgarh,Haryana,28.6609648,76.770421
Yamuna Nagar,Haryana,19.1481254,93.709712
Bhiwani,Haryana,28.7931703,76.1391283
Karnal,Haryana,29.7255766,78.8216861
Palwal ,Haryana,#N/A,93.709712
Ambala,Haryana,30.3843674,76.770421
Narnaul,Haryana,28.0438456,76.5907017
Fatehabad,Haryana,29.5359209,75.5752901
Mandikhera,Haryana,27.897075,80.2610181
Jind,Haryana,29.3152073,76.2989276
Hisar,Haryana,29.2396596,77.401989
Ballabgarh,Haryana,28.2940728,77.3592238
Kaithal,Haryana,29.7996588,86.4309638
Faridabad,Haryana,28.4031478,76.7674001
Gurugram,Haryana,28.4646148,76.6821985
Baddi,Himachal Pradesh,30.9763026,77.6442962
Srinagar,Jammu and Kashmir,34.0747444,81.7804732
Dhanbad,Jharkhand,23.7952809,91.2823821
Shivamogga,Karnataka,13.9326093,78.4604956
Hubballi,Karnataka,15.3518378,77.890433
Kolar,Karnataka,13.1805066,75.3737973
Bengaluru,Karnataka,12.9767936,74.639
Chikkaballapur,Karnataka,13.0993764,77.388729
Kalaburagi,Karnataka,17.2408957,77.9743805
Mysuru,Karnataka,12.3041464,78.8216861
Yadgir,Karnataka,16.5744123,93.709712
Ramanagara,Karnataka,12.720006,81.7804732
Vijayapura,Karnataka,16.814415,79.4231711
Madikeri,Karnataka,12.42149,78.1573628
Raichur,Karnataka,16.0547194,78.8216861
Koppal,Karnataka,15.5748238,78.8216861
Gadag,Karnataka,15.416692,76.6821985
Haveri,Karnataka,14.7180267,79.0032253
Mangalore,Karnataka,12.8698101,76.2989276
Davanagere,Karnataka,14.2558835,75.8303421
Belgaum,Karnataka,15.8572666,74.5069343
Dharwad,Karnataka,15.3707296,76.2940408
Eloor,Kerala,10.0669964,76.2989276
Thiruvananthapuram,Kerala,8.4882267,93.709712
Kochi,Kerala,9.9679032,78.8216861
Kannur,Kerala,11.8763836,78.8216861
Kollam,Kerala,8.8870815,79.5045475
Thrissur,Kerala,10.5270099,81.7804732
Gwalior,Madhya Pradesh,26.2037247,79.4047452
Ujjain,Madhya Pradesh,23.1885131,79.4231711
Singrauli,Madhya Pradesh,24.2431343,78.4604956
Pithampur,Madhya Pradesh,22.6105576,78.8216861
Mandideep,Madhya Pradesh,23.093838,78.8216861
Dewas,Madhya Pradesh,22.8057498,79.4047452
Satna,Madhya Pradesh,24.6954445,81.7804732
Bhopal,Madhya Pradesh,23.2584857,77.401989
Indore,Madhya Pradesh,22.7203616,74.6599008
Jabalpur,Madhya Pradesh,23.1701522,79.0032253
Katni,Madhya Pradesh,23.7176393,78.8216861
Sagar,Madhya Pradesh,23.8083076,86.9746587
Mumbai,Maharashtra,19.054999,78.8216861
Chandrapur,Maharashtra,20.0967555,76.6821985
Pune,Maharashtra,18.5213738,78.8216861
Solapur,Maharashtra,17.8499067,81.7804732
Nagpur,Maharashtra,21.1498134,78.8216861
Nashik,Maharashtra,20.0112475,78.8216861
Thane,Maharashtra,19.1943294,81.7804732
Navi Mumbai,Maharashtra,19.0308262,78.8216861
Kalyan,Maharashtra,19.2396742,74.6599008
Pimpri-Chinchwad,Maharashtra,18.6279288,85.050728
Kolhapur,Maharashtra,16.7028412,0
Sangli,Maharashtra,17.1726928,73.8241077
Latur,Maharashtra,18.3553347,78.8216861
Mahad,Maharashtra,18.080753,86.9746587
Akola,Maharashtra,20.7618123,77.1921157
Amravati,Maharashtra,21.1545412,77.6442962
Jalgaon,Maharashtra,20.8428826,79.0032253
Jalna,Maharashtra,19.918833,79.0032253
Parbhani,Maharashtra,19.2901981,78.4604956
Nanded,Maharashtra,19.0940088,78.8216861
Badlapur,Maharashtra,19.1666237,74.639
Dhule,Maharashtra,21.1305215,79.4047452
Belapur,Maharashtra,19.6197639,74.6599008
Mira-Bhayandar,Maharashtra,19.3183904,78.8216861
Virar,Maharashtra,19.4497996,93.709712
Ulhasnagar,Maharashtra,19.2236329,79.4231711
Bhiwandi,Maharashtra,19.3025562,73.0588072
Shillong,Meghalaya ,25.5759931,86.9746587
Kohima,Nagaland,25.6618755,0
Keonjhar,Odisha,21.5,78.8216861
Baripada,Odisha,21.9342456,77.4306738
Bileipada,Odisha,0,0
Nayagarh,Odisha,20.2393682,78.8216861
Rourkela,Odisha,22.2309255,81.7804732
Suakati,Odisha,0,81.7804732
Tensa,Odisha,21.8782061,81.7804732
Puducherry,Puducherry,0,78.8216861
Khanna,Punjab,30.700625,74.639
Patiala,Punjab,30.2092777,93.709712
Jalandhar,Punjab,31.2922312,79.0032253
Ludhiana,Punjab,30.9090157,78.8216861
Mandi Gobindgarh,Punjab,30.6693384,76.6821985
Amritsar,Punjab,31.6356659,74.639
Tonk,Rajasthan,26.122266,79.4231711
Jaipur,Rajasthan,26.9154576,79.0032253
Jodhpur,Rajasthan,26.2967719,76.6821985
Alwar,Rajasthan,27.4140048,76.6170387
Ajmer,Rajasthan,26.4691,74.639
Kota,Rajasthan,25.1737019,86.9746587
Pali,Rajasthan,25.455221,78.8216861
Udaipur,Rajasthan,24.578721,79.4231711
Bharatpur,Rajasthan,27.0246959,77.2920116
Churu,Rajasthan,28.2047781,74.6912996
Dholpur,Rajasthan,26.7010642,79.0032253
Sirohi,Rajasthan,24.8114047,81.7804732
Banswara,Rajasthan,23.4915046,74.3502172
Chittorgarh,Rajasthan,24.7171578,80.270186
Dausa,Rajasthan,26.8048658,79.0032253
Barmer,Rajasthan,25.5814853,77.4306738
Hanumangarh,Rajasthan,29.3659533,79.0032253
Sawai Madhopur,Rajasthan,26.1137182,81.7804732
Jhunjhunu,Rajasthan,28.0810679,88.6122673
Rajsamand,Rajasthan,25.2892459,81.7804732
Sri Ganganagar,Rajasthan,29.5480733,81.7804732
Pratapgarh,Rajasthan,25.75,78.8216861
Sikar,Rajasthan,27.6625058,93.709712
Karauli,Rajasthan,26.4530971,78.8216861
Jhalawar,Rajasthan,24.3132368,79.0032253
Bhilwara,Rajasthan,25.4891177,74.3300726
Bundi,Rajasthan,25.4367659,76.6821985
Jaisalmer,Rajasthan,26.9116615,80.270186
Baran,Rajasthan,24.9208165,76.6821985
Nagaur,Rajasthan,26.9873443,78.8216861
Gangtok,Sikkim,27.329046,80.270186
Salem,Tamil Nadu,11.6469616,81.7804732
Chennai,Tamil Nadu,13.0836939,80.270186
Tirupur,Tamil Nadu,11.1671878,93.709712
Hosur,Tamil Nadu,12.7183361,79.0032253
Kanchipuram,Tamil Nadu,12.9647163,77.9743805
Coimbatore,Tamil Nadu,11.0018115,91.2823821
Ooty,Tamil Nadu,11.4126769,78.8216861
Ramanathapuram,Tamil Nadu,9.5205576,81.7804732
Palkalaiperur,Tamil Nadu,0,86.9746587
Hyderabad,Telangana,17.360589,79.0032253
Agartala,Tripura,23.8312377,91.2823821
Kashipur,Uttarakhand,29.2117573,78.8216861
Ghaziabad,Uttar Pradesh,28.7749966,79.0032253
Noida,Uttar Pradesh,28.5706333,78.8216861
Greater Noida,Uttar Pradesh,28.4670734,78.0098161
Bulandshahr,Uttar Pradesh,28.3874073,77.9743805
Lucknow,Uttar Pradesh,26.8381,78.8216861
Varanasi,Uttar Pradesh,25.3356491,79.4231711
Kanpur,Uttar Pradesh,26.4609135,78.4604956
Agra,Uttar Pradesh,27.1752554,78.0098161
Hapur,Uttar Pradesh,28.7166767,77.890433
Meerut,Uttar Pradesh,29.0018557,78.8216861
Prayagraj,Uttar Pradesh,25.4381302,86.9746587
Gorakhpur,Uttar Pradesh,26.6677977,79.0032253
Firozabad,Uttar Pradesh,27.1941954,79.4047452
Vrindavan,Uttar Pradesh,27.5753726,93.709712
Moradabad,Uttar Pradesh,28.8796553,78.8216861
Jhansi,Uttar Pradesh,25.529855,79.0032253
Baghpat,Uttar Pradesh,29.0374779,86.9746587
Bareilly,Uttar Pradesh,28.4582344,79.4047452
Khurja,Uttar Pradesh,28.2062807,78.8216861
Kolkata,West Bengal,22.5726459,78.8216861
Howrah,West Bengal,22.5736296,79.0032253
Asansol,West Bengal,23.6871297,77.4306738
Siliguri,West Bengal,26.7164127,81.7804732
Durgapur,West Bengal,23.5350475,79.0032253
Haldia,West Bengal,22.028124,79.0032253
Amaravati,Andhra Pradesh,16.5096679,80.5184535
Anantapur,Andhra Pradesh,14.72422,77.4306738
Chittoor,Andhra Pradesh,13.2026484,79.0032253
Kadapa,Andhra Pradesh,14.4752936,78.8216861
Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
Tirupati,Andhra Pradesh,13.6316368,79.4231711
Vijayawada,Andhra Pradesh,16.5115306,93.709712
Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
Naharlagun,Arunachal Pradesh,27.1308555,93.709712
